file,runid,new,P,Q,nlive,niter,logl,logz,logzerr,information,walltime
bdl/arctic_a0017,0,False,1,2,500,6329,-11.91100222732264,-23.845108735827054,0.2185417709835014,9.885734311327736,176.27758264541626
bdl/arctic_a0017,0,False,2,2,500,6686,-2.501102131184954,-15.160749097394179,0.22534808976133647,10.513102016730414,243.898108959198
bdl/arctic_a0017,0,False,3,2,500,6990,35.29819610928236,22.04373314322199,0.22970666679491575,11.203244780470872,307.4200050830841
bdl/arctic_a0017,0,False,4,2,500,7385,69.6836584077669,55.64671256177958,0.23694028103097894,11.992187122100333,393.8887276649475
bdl/arctic_a0017,0,False,5,2,500,7543,78.71275918694526,64.35823434346898,0.23948643828472813,12.27943785681967,523.1912138462067
bdl/arctic_a0017,0,False,6,2,500,7432,72.87449544930273,58.74054107351394,0.23667959817510875,12.14285051918462,606.0073552131653
bdl/arctic_a0017,0,False,7,2,500,7672,69.95607512909913,55.33852182784752,0.24148627210255322,12.554888837601517,744.7406022548676
bdl/arctic_a0017,0,False,8,2,500,7372,61.34888035392617,47.35243495532845,0.23570491121583093,12.033098627070423,835.5088632106781
bdl/arctic_a0017,0,False,9,2,500,7262,56.31786536929559,42.519789475448604,0.2333221547919902,11.804370100849894,936.3403804302216
bdl/arctic_a0017,0,False,10,2,500,7351,48.882357211770135,34.9042809526835,0.2349488790487193,11.895369907197576,1096.432529449463
bdl/arctic_a0017,0,False,0,3,500,8290,8.067180679751928,-7.878514870330167,0.25799738837760766,12.89587167681862,224.91229796409607
bdl/arctic_a0017,0,False,1,3,500,8255,-2.901764898726057,-18.78488885993038,0.2542032637581748,12.686393003089067,280.7171015739441
bdl/arctic_a0017,0,False,2,3,500,9740,7.6222692413797475,-11.257766972812881,0.2844207283138366,14.500117928173474,420.6032466888428
bdl/arctic_a0017,0,False,3,3,500,9756,64.76992906523645,45.87326715734511,0.2781803294495218,15.515210216275946,490.07792806625366
bdl/arctic_a0017,0,False,4,3,500,10396,99.34683673314012,79.2104933883309,0.28665283590010965,17.268833895008413,653.4451913833618
bdl/arctic_a0017,0,False,5,3,500,10577,131.0854327211901,110.59287947987187,0.2887102028057174,17.59483091004708,771.1908099651337
bdl/arctic_a0017,0,False,6,3,500,10799,123.81885048597384,102.88925753219654,0.29328160843651957,18.111652457003245,958.5898387432098
bdl/arctic_a0017,0,False,7,3,500,10645,119.29204364952705,98.66373138885287,0.2916153645577289,17.7163225979548,1106.1675384044647
bdl/arctic_a0017,0,False,8,3,500,10677,109.92055073143187,89.22976506259505,0.28980319401114324,17.86735836024701,1285.9933137893677
bdl/arctic_a0017,0,False,9,3,500,10596,103.11275422912047,82.58053501758302,0.2887538035775673,17.64212896763327,1455.4722113609314
bdl/arctic_a0017,0,False,10,3,500,10595,99.6963391197302,79.18150548941334,0.2889524593866272,17.766507226660636,1628.4818608760834
bdl/arctic_a0017,0,True,0,1,500,3572,-18.49826159680804,-24.795808783200194,0.14604137519398291,5.272170432713477,50.62250733375549
bdl/arctic_a0017,0,True,1,1,500,3554,-29.23058842359886,-35.488742155461715,0.14471538336931142,5.26252899639395,74.33340454101562
bdl/arctic_a0017,0,True,2,1,500,3693,-27.10544512454845,-33.65319769907559,0.15019357466753205,5.457099044514752,104.07114887237549
bdl/arctic_a0017,0,True,3,1,500,3692,6.565248758418726,0.029782787313381593,0.14835484538672317,5.553023881144474,127.28623628616333
bdl/arctic_a0017,0,True,4,1,500,3852,17.7967515524222,10.935500713947032,0.15302449825511377,5.847111575688068,170.01228427886963
bdl/arctic_a0017,0,True,5,1,500,3895,28.561312386302028,21.615607521952594,0.15441891747103428,5.920868648911881,219.60874557495117
bdl/arctic_a0017,0,True,6,1,500,3647,20.512167376437894,14.066977636636155,0.14729004249285851,5.451527256141832,233.93183302879333
bdl/arctic_a0017,0,True,7,1,500,3773,12.806724431668385,6.104175790931008,0.15133596700150426,5.669690666848308,283.66691994667053
bdl/arctic_a0017,0,True,8,1,500,3650,5.573890244321326,-0.8725118527306311,0.1476769068267584,5.44269473269993,316.2202789783478
bdl/arctic_a0017,0,True,9,1,500,3600,-1.5041453836841185,-7.8618963331574925,0.14680571678960308,5.323499960427912,361.2563750743866
bdl/arctic_a0017,0,True,10,1,500,3525,-5.9869689839189135,-12.187097049495861,0.14482878683304967,5.166565682461103,402.9311258792877
bdl/arctic_a0017,0,True,0,2,500,6110,-0.8946039979888347,-12.38800952664658,nan,9.426456446155859,137.08497738838196
bdl/arctic_a0017,0,True,1,2,500,6243,-11.861152151635793,-23.63204946806269,nan,9.597190733088812,198.80485558509827
bdl/arctic_a0017,0,True,2,2,500,6294,-2.495532171312586,-14.357380640765617,0.14057741790006284,9.793538091915776,235.8241789340973
bdl/arctic_a0017,0,True,3,2,500,6567,35.2386941279465,22.839017053699767,0.148688577106944,10.348623842764102,309.758505821228
bdl/arctic_a0017,0,True,4,2,500,7314,69.70686576601393,55.80190623639498,0.16649678620389446,11.769644822625033,425.51404094696045
bdl/arctic_a0017,0,True,5,2,500,6963,78.75123472871445,65.54660714474096,nan,11.168872180285334,480.5038642883301
bdl/arctic_a0017,0,True,6,2,500,7078,72.87670864505174,59.44141925801241,0.16067356263812302,11.363343608866906,576.6157658100128
bdl/arctic_a0017,0,True,7,2,500,7100,69.92379499354671,56.449940367559954,0.1607196279407466,11.458135420013342,691.0986196994781
