hyperfile,file,runid,new,P,Q,nlive,niter,logl,logz,logzerr,information,walltime
hyper_cmp,awb/arctic_a0094,0,True,8,2,500,10224,530.0801344150774,510.37299696371196,0.23564662373375944,17.742506530000412,1306.9229583740234
hyper_cmp,awb/arctic_a0094,0,True,9,2,500,9824,548.161381688863,529.253120044402,nan,16.887359149451754,1384.706715106964
hyper_cmp,awb/arctic_a0094,0,True,10,2,500,9596,572.8578005043908,554.3976665239426,nan,16.390350046983144,1568.121994972229
hyper_cmp,awb/arctic_a0094,0,True,0,3,500,10389,22.79926911561573,2.596625049103296,0.23176844710914393,16.006431282735964,309.00887799263
hyper_cmp,awb/arctic_a0094,0,True,1,3,500,9781,15.540255493827878,-3.4566633209597395,0.2254293007153796,14.3586122252972,368.5897572040558
hyper_cmp,awb/arctic_a0094,0,True,2,3,500,8826,81.42609062729093,64.38129944057341,0.20874129218688434,13.315330469402284,394.07541370391846
hyper_cmp,awb/arctic_a0094,0,True,3,3,500,11912,385.2548639433731,362.09528573633844,0.25745393059623384,20.29566020952018,775.3404762744904
hyper_cmp,awb/arctic_a0094,0,True,4,3,500,13163,540.4050708308291,514.7384156419383,nan,22.723244789427667,1019.9806792736053
hyper_cmp,awb/arctic_a0094,0,True,5,3,500,12680,539.0979266583322,514.3995508443153,0.26811644975653015,21.836877967622854,1159.4369235038757
hyper_cmp,awb/arctic_a0094,0,True,6,3,500,12495,557.4570538106557,533.1413420046465,0.26596128938837627,21.573623838549224,1316.0242092609406
hyper_cmp,awb/arctic_a0094,0,True,7,3,500,11736,607.905991056007,585.1078846267399,0.2536507058556265,20.124790692388842,1466.1996870040894
hyper_cmp,awb/arctic_a0094,0,True,8,3,500,13506,712.8560328717671,686.5138634796631,0.2782691732850084,23.542116185338955,1931.8863768577576
hyper_cmp,awb/arctic_a0094,0,True,9,3,500,13114,736.502665447332,710.9382541872878,nan,22.672727455044082,2123.1745767593384
hyper_cmp,awb/arctic_a0094,0,True,10,3,500,11969,735.0382481668834,711.7523335884676,nan,20.32214282348707,2201.511519908905
hyper_cmp,awb/arctic_a0094,0,True,0,4,500,13971,111.53740626989088,84.18105771269808,1.9053641054174757e+140,22.97949211225398,450.2403140068054
hyper_cmp,awb/arctic_a0094,0,True,1,4,500,13934,100.02518882746324,72.74695394699026,nan,22.911330180795375,555.3154635429382
hyper_cmp,awb/arctic_a0094,0,True,2,4,500,15443,268.0934076428929,237.7896063517159,0.31007612742588053,25.907393612325023,786.6576924324036
hyper_cmp,awb/arctic_a0094,0,True,3,4,500,15021,572.0966830818311,542.6703713523783,nan,25.76015625685352,983.9469254016876
hyper_cmp,awb/arctic_a0094,0,True,4,4,500,14570,651.4943112272903,622.9970116415454,0.29618935074042574,25.14181707183843,1249.416749238968
hyper_cmp,awb/arctic_a0094,0,True,5,4,500,15602,666.4697848714978,635.8542460597779,0.40169362877566134,26.321803745294915,1512.7322132587433
hyper_cmp,awb/arctic_a0094,0,True,6,4,500,14593,716.7825738305289,688.2420755541804,0.8020628111658423,25.28260124449764,1710.1905605793
hyper_cmp,awb/arctic_a0094,0,True,7,4,500,13438,749.3669724308788,723.1207964868207,25.21916307937171,22.894506727655312,1857.350481748581
hyper_cmp,awb/arctic_a0094,0,True,8,4,500,14353,757.5135829436992,729.4147764023702,nan,23.46429485984777,2321.628795862198
hyper_cmp,awb/arctic_a0094,0,True,9,4,500,15215,762.2233735564248,732.362905356947,nan,25.05830036143027,2761.0565614700317
hyper_cmp,awb/arctic_a0094,0,True,10,4,500,11415,769.6368381593937,747.378694054143,nan,18.00740192592457,2302.005133152008
hyper_cmp,awb/arctic_a0094,0,True,0,5,500,23855,432.5371868591286,385.43089175779266,0.40933027390906035,42.13277017573495,916.888153553009
hyper_cmp,awb/arctic_a0094,0,True,1,5,500,23136,452.78520588108233,407.0809176418963,0.39716281276105136,40.19011507620684,1075.9435439109802
hyper_cmp,awb/arctic_a0094,0,True,2,5,500,21037,561.9206009194087,520.3349495865544,0.35456071604587863,32.02476180082374,1297.4543125629425
